C_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
2.2,0.3,0.9276273559723194,0.004868327868259392,0.6363290045123616,0.033928903518429726,1
2.5,0.275,0.9250978236873684,0.005979343298822542,0.6362273044372578,0.035351818128449376,2
2.4,0.275,0.920393328981296,0.005872879076687304,0.6358805768233339,0.034678553659719336,3
2.4,0.3,0.9328504221821987,0.004744278136302821,0.6349558675780452,0.029326461888989935,4
2.3,0.275,0.9179114815396364,0.005615332247012794,0.6345098623599865,0.03439825433847917,5
2.2,0.275,0.9130240120500522,0.004162586185611814,0.6343834623661848,0.036341292668145,6
2.3,0.3,0.931247004672598,0.00480052497677236,0.6339622345333277,0.03099207756830492,7
2.1,0.3,0.9228252893951112,0.005836957208307206,0.6339020432319925,0.03532291694978253,8
2.6,0.275,0.9283341219707996,0.004635955837410003,0.6337340235224657,0.03291871980627007,9
2.5,0.25,0.9087439871198033,0.0030595930266220824,0.6332390780092776,0.04216492260194405,10
2.6,0.25,0.9128170957191193,0.004840383081045195,0.6328251915615251,0.04040264227043888,11
2.0,0.3,0.9177769903563027,0.00415114037881035,0.6325708252592768,0.036334314709148816,12
2.0,0.35,0.9387982393381463,0.004719207463003677,0.6324081915199949,0.036679322090176096,13
2.4,0.25,0.9059992024758904,0.002559712697728038,0.6315929386462493,0.042851913341648555,14
2.7,0.275,0.9307352110445029,0.004620954076446177,0.631564083499921,0.03409936313266384,15
2.8,0.275,0.9332330925814494,0.0039112662445065895,0.6315164623420244,0.03191646006331931,16
2.1,0.35,0.9423909479410476,0.0046213222949320456,0.6312891883443144,0.03552992141918239,17
2.0,0.275,0.9047970559811562,0.0034834984765037863,0.6311547535114885,0.04148969665819631,18
2.0,0.325,0.929865061352882,0.004850184056851492,0.6308624762429883,0.035689472246801864,19
2.9,0.25,0.9224709902163701,0.006178316287679663,0.6307469470752304,0.03591386704129498,20
2.7,0.25,0.9169235219074295,0.006325362468112732,0.6307269159087459,0.03712148515218318,21
2.5,0.3,0.935752413770334,0.00402520738531179,0.6302126433704236,0.02818792267566295,22
2.6,0.3,0.9396874011638646,0.004780324491310937,0.6301330432525714,0.03271037010152882,23
2.9,0.275,0.9352858568037732,0.004246879522518885,0.6300483871519648,0.0350790574238286,24
2.2,0.325,0.9362873137590484,0.003987520177123164,0.6298458296470544,0.030782523507543867,25
3.0,0.25,0.9263427957951376,0.005216572839514926,0.6296009041562194,0.037037238238417446,26
2.8,0.25,0.9196085951786207,0.006035359296945113,0.6295364397182697,0.036437074221862896,27
2.6,0.35,0.9543706369994476,0.0036264123039919643,0.6295213734722648,0.03606592957784892,28
2.1,0.275,0.9085266959964151,0.003558376276659434,0.6293701006652415,0.03954384199781906,29
3.0,0.275,0.938932333163098,0.003994605533627184,0.6291641122468141,0.03665096595697046,30
2.1,0.325,0.9342860539231556,0.004456555616687905,0.6287753193614186,0.033904634468601,31
2.7,0.35,0.9558450341496169,0.0036310742308091754,0.6287293156521205,0.03656843024106779,32
2.7,0.3,0.9426523585020826,0.00445532505338907,0.6285434770376449,0.03327502288891551,33
2.8,0.35,0.9575912562636597,0.002381365185348916,0.6275500402713108,0.036924871952415214,34
2.4,0.4,0.961476469068048,0.0030320048656207687,0.6271650072521249,0.040556349226168686,35
2.3,0.4,0.9590600484289965,0.003148299082601238,0.6266866581041742,0.03790222522466995,36
2.3,0.325,0.9402798867860769,0.005792950516899234,0.6265086520121533,0.0313466787670596,37
2.4,0.325,0.9440582239752761,0.00423090962141637,0.6262897591039426,0.03180803746108889,38
