C_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
2.0,0.2,0.8558124170533506,0.004809636482664448,0.6165201284391946,0.0801749285467079,76
2.2,0.2,0.8663960542188152,0.004862594716075154,0.6159083565013023,0.0774833961508708,77
3.0,0.125,0.8161925356108332,0.006229245252256001,0.6140221384427081,0.07129982530136228,78
2.8,0.125,0.8087455863640096,0.006265953596313063,0.6128162851493429,0.07415403134225536,79
2.6,0.125,0.799355576965531,0.006674222158037871,0.6120109771739469,0.06889535366481565,80
2.7,0.125,0.8047944468875003,0.0059669976928538185,0.6120109771739469,0.06889535366481565,80
2.9,0.125,0.812868131888526,0.006596182227002718,0.6114783836248288,0.07475432143900654,82
2.4,0.125,0.7864870182896899,0.006745608961875713,0.6095882136927263,0.06878397300425484,83
2.5,0.125,0.7913748247915254,0.006799752543644559,0.6091810794135251,0.06659205966714951,84
2.2,0.125,0.7773831872771895,0.007090949239258866,0.6084543153710311,0.07075594814935979,85
2.0,0.125,0.7663983003313013,0.007962336077604763,0.6082495837578885,0.07057409758071208,86
2.3,0.125,0.7824012988365778,0.007066134958216582,0.6066831974448891,0.06979212636147437,87
2.1,0.125,0.7699890327657735,0.00825149547104009,0.6052014897174094,0.07101279211973037,88
