C_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
1.45,0.15,0.7669207432995288,0.01014333148525166,0.6075629742516564,0.02289701694238893,1
1.4,0.15,0.7635606956497811,0.009719462802529357,0.6074365664655097,0.023240662406875907,2
1.4,0.16,0.7736563868601842,0.009470326567184639,0.6073817491775417,0.024535010398666738,3
1.55,0.16,0.783981854230966,0.007538514545826636,0.6070513696119574,0.02868159408400774,4
1.5,0.16,0.779588885099036,0.008192964166462152,0.6069676154997599,0.029042365931632327,5
1.4,0.07,0.6703197155406695,0.006450634965173839,0.606211705383331,0.02465056882262566,6
1.3,0.15,0.7546411040939437,0.008204833776478168,0.6058643226902745,0.024723106202125034,7
1.5,0.15,0.7705100887529992,0.009721025071822743,0.6054772881936813,0.027637332189093637,8
1.45,0.16,0.7770266838857178,0.008593958606045136,0.6051215350381685,0.027026701338866702,9
1.45,0.07,0.673451394172855,0.005789996372697857,0.6049800456561778,0.025051157489669993,10
1.3,0.07,0.665342901817004,0.005762497162842411,0.6044083780155534,0.024706233814557173,11
1.55,0.15,0.7720078359393228,0.008768047199542049,0.6042505107312817,0.02816628474068691,12
1.4,0.08,0.6822231869590603,0.006763581545760178,0.6040150446756201,0.026941849637808053,13
1.3,0.09,0.6878228462026772,0.007923972398124694,0.6039524260539245,0.028901841472854562,14
1.3,0.08,0.6769257915149955,0.0060396624675492765,0.6039282713834762,0.027587103752809254,15
1.5,0.07,0.6752843928508937,0.006395384113199021,0.6039076003770978,0.02464357872276512,16
1.3,0.16,0.7643773805451273,0.010114568490060207,0.6035071860756882,0.024404264587736913,17
1.55,0.07,0.6755289667768853,0.00658962584473162,0.6027721127525553,0.023477304415418985,18
1.45,0.1,0.7111144221952144,0.008132431426405292,0.6020960836474003,0.0283386475293491,19
1.5,0.1,0.7129490576974148,0.007435150390252072,0.6020293002960696,0.031826695819376125,20
1.55,0.1,0.7165685160698572,0.007285248316845487,0.6018852149581805,0.029389942722250918,21
1.4,0.09,0.6957201675782105,0.007677808538873695,0.6018597157508633,0.027586859747254205,22
1.45,0.08,0.6849276192238993,0.008399979475976177,0.6017446026199817,0.025187675588759985,23
1.3,0.06,0.6568496549389683,0.004968786311317365,0.6011862507587689,0.0294943027502618,24
1.4,0.06,0.6597703137681489,0.004697893665860187,0.6011862507587689,0.0294943027502618,24
1.45,0.09,0.6993808777238815,0.007989844188898252,0.6007335913698433,0.025017695647758565,26
1.45,0.06,0.6612735234255872,0.0055673718929344605,0.6001054141912376,0.028611923602541934,27
1.55,0.09,0.706723015371289,0.00713416337162117,0.5998918729227604,0.02702216015537776,28
1.4,0.05,0.6504964158551539,0.007220348498393154,0.5998271506163889,0.037553951448263234,29
1.3,0.05,0.6489070893076502,0.006935869304738646,0.5997330204993692,0.037066077240276024,30
1.4,0.1,0.7089144764739037,0.007589252139079587,0.5996127427670259,0.026356787736015196,31
1.5,0.08,0.6883600839226063,0.008848881536153819,0.599595204399155,0.028407787163384754,32
1.5,0.09,0.7041740209716997,0.008141535129598572,0.5995009303016126,0.027663569842930877,33
1.3,0.1,0.6996779249076148,0.006477814157800112,0.5992264042633911,0.023801682713383555,34
1.5,0.05,0.6519663544546244,0.006883542824395662,0.5991101501902171,0.033227414437671667,35
1.55,0.05,0.6540044202461914,0.006433863103852471,0.5991017934779813,0.030201126072209747,36
1.5,0.06,0.6616639941547754,0.005211601970292237,0.5988814391857152,0.030254780589836425,37
1.55,0.06,0.6629947316835694,0.005832429553834496,0.5988771459786102,0.031961936533753864,38
1.45,0.05,0.6513808707605873,0.006715729247329735,0.5978801271141397,0.03576406868014967,39
1.55,0.08,0.6898992031612775,0.009319336954300029,0.5974232311754653,0.026689029482561008,40
