C_Parameter,Degree_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
1.0,3,0.15,0.7919694982308271,0.005002760708809417,0.6003843713748367,0.036557285009822145,1
0.1,3,0.3,0.7834529932751062,0.0064945762313641745,0.5974313152290363,0.037152849257410164,2
0.5,3,0.15,0.7613957913004226,0.009143341815361574,0.5930563306338605,0.029447155150023756,3
0.5,3,0.2,0.7982605710180346,0.005042727824214008,0.5929871154543435,0.03356400461941439,4
1.0,5,0.15,0.8693621033814279,0.0027525598015932596,0.5902320099661991,0.040096356298906885,5
0.5,5,0.15,0.8459312743188647,0.007219005358090796,0.5881481202332958,0.04368919309988083,6
0.1,3,0.25,0.7553955575984064,0.00929912187590896,0.5878447560339157,0.02720472112055548,7
1.0,3,0.25,0.8562864944954132,0.005782164801187336,0.5872302618535288,0.03276883945545325,8
0.1,5,0.2,0.8353986462378821,0.007162364547311158,0.5869066439651527,0.04551445120311024,9
0.5,3,0.3,0.8504018342736274,0.007206609073541479,0.5834319948373232,0.031631511955379964,10
0.1,5,0.25,0.8773638607247897,0.004760345165312832,0.5818376375644447,0.043462894514028974,11
1.0,3,0.2,0.8269087959261292,0.009467052427486434,0.5813137348194799,0.02829342868111643,12
1.0,3,0.3,0.8780875307715972,0.01019223537784897,0.5801113059143843,0.02664082776547454,13
0.5,3,0.25,0.8266420247054265,0.009697043767599191,0.5795434727386295,0.029930140249034655,14
0.1,5,0.15,0.7785718906712437,0.007230870978816621,0.5777726531800097,0.03430537632831224,15
0.1,3,0.2,0.7250463311487925,0.006848764912857991,0.5755784533865779,0.01676171207274106,16
0.5,5,0.2,0.887389362039443,0.00428752922901508,0.5725424347011303,0.02467398945600888,17
0.1,5,0.3,0.9089557046082526,0.004668201614867451,0.5702069729565542,0.0167202729876696,18
0.5,5,0.25,0.9364942105477182,0.0022379276323161463,0.5692755420963949,0.017599701911572948,19
1.0,5,0.2,0.9213708895146642,0.0021822804601640063,0.5691762864993125,0.019569164706928464,20
0.5,5,0.3,0.9600545114606461,0.00369293903043289,0.5685064938220329,0.01747840210226031,21
1.0,5,0.3,0.9746197353755768,0.002826589120738747,0.5660200674724194,0.01641778311050763,22
1.0,5,0.25,0.9549939448463955,0.003917431317646046,0.5641564817444127,0.016918596697230243,23
0.1,3,0.15,0.6834800083214196,0.015116950166533813,0.5546493036273137,0.01038520906767989,24
