C_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
2.4,0.275,0.9241240721406007,0.01005956604259235,0.6230134865165354,0.036226203684223794,1
2.0,0.325,0.9333636683292388,0.008082778626582932,0.6227954510346639,0.03775292872772891,2
2.3,0.4,0.9633097886126627,0.00445151686383704,0.6211145571872008,0.025260265544790918,3
2.2,0.4,0.9620849231978836,0.005099570857319493,0.6210653888369245,0.021697265711454562,4
2.2,0.3,0.9298258266005274,0.007952768938548443,0.6209729645327307,0.037407442959479946,5
2.1,0.325,0.9367066312243593,0.008040584660787529,0.6207931035251715,0.03503253713201939,6
2.2,0.325,0.9409597618938852,0.007681200583518493,0.6196264040138136,0.033720389719708206,7
2.1,0.3,0.9246302411253087,0.009711767217443804,0.6194207432716524,0.033581286632998426,8
2.8,0.4,0.9732661017234971,0.006952934677011544,0.6185272571914211,0.017410712377307954,9
2.0,0.3,0.9196671947690624,0.00955830646215316,0.6178181032587333,0.03347893613179772,10
2.3,0.275,0.9204123529218242,0.009011496182311524,0.6175763324985558,0.03398635976131151,11
2.3,0.325,0.9449034474472826,0.005804171482489757,0.6174224357260296,0.03290454066987904,12
2.8,0.275,0.9353502242539099,0.009426893101668072,0.6172780163672714,0.033878429562447056,13
2.9,0.275,0.9390191478474199,0.006199472723887288,0.6172780163672714,0.033878429562447056,13
2.8,0.25,0.9211750460508205,0.00855962050949208,0.6171400618280946,0.03393365707070652,15
2.9,0.35,0.9633441622359978,0.0057795581091876535,0.6170731595470902,0.024937666099891603,16
2.1,0.4,0.9590850070190916,0.004810769726481691,0.6170407084288833,0.026116100773153017,17
2.0,0.35,0.9433602967764194,0.006782369954407538,0.6168331038974173,0.03577557592286944,18
2.9,0.4,0.9759957181088629,0.004622374989673281,0.6164353171941696,0.0160654878791661,19
2.2,0.275,0.9170843517249756,0.010791480607177207,0.6164202002567325,0.03271139362796691,20
2.4,0.3,0.9355892833703792,0.008519179116821856,0.616323226327822,0.03358472714027627,21
2.6,0.275,0.9287302597691622,0.006942223488106735,0.6163167116849875,0.0368871168349721,22
2.3,0.3,0.9319634443082243,0.008595644966958726,0.6161576259927035,0.036271082612465776,23
2.5,0.275,0.9271228731731567,0.007728871990421005,0.6161301602892425,0.037549303574935626,24
2.7,0.4,0.9714378240866575,0.007133411759080808,0.6160962773353992,0.015696194859165888,25
3.0,0.4,0.9765961624884186,0.004589287967842429,0.6154912593638842,0.014756444811199235,26
3.0,0.275,0.9405067165779906,0.005841265534820068,0.6154733880281255,0.03346025713666008,27
2.2,0.35,0.9509220845922481,0.005948360587061174,0.6154239825347523,0.025009143459496334,28
2.3,0.35,0.9536560662803971,0.00574380943404702,0.6153808652821905,0.019199817595216048,29
2.5,0.3,0.9395213993302596,0.00896287912093286,0.6152439133520352,0.033626622327702825,30
2.7,0.275,0.9311397251571277,0.007865695581130677,0.6152274758813923,0.03628439772691668,31
2.8,0.35,0.9612301543622668,0.004324832730163644,0.6152207768578857,0.02250700540162814,32
2.9,0.25,0.9242299965507946,0.008214777549970707,0.6150599365970799,0.034889427153329065,33
3.0,0.35,0.9645426823201557,0.006972561242653216,0.615047263750135,0.02154786626514811,34
2.1,0.275,0.9122065173822801,0.00916037395118228,0.6149795049043778,0.03431549796928333,35
2.7,0.35,0.9606368358976394,0.004323391570625058,0.614961765195201,0.020798275238418238,36
2.4,0.35,0.9545521676516902,0.006137151271027493,0.6148700410976893,0.01966208822459214,37
3.0,0.25,0.9269365909207771,0.0072447902408049845,0.6147188403872689,0.035664989681085765,38
2.7,0.25,0.9190719339047758,0.008121381784874097,0.6145269582486688,0.037441029039374546,39
2.0,0.2,0.8633341763136653,0.007983117585536178,0.6143663906911299,0.02735107287280518,40
2.6,0.25,0.9162364511809731,0.009289675276764513,0.6142635932900319,0.03726252549934392,41
2.1,0.25,0.8990698678728322,0.006019714401361278,0.6139459580944966,0.03204686815444486,42
2.0,0.275,0.9087631779194645,0.009690857642168293,0.6139103987195385,0.034050490256318657,43
2.9,0.3,0.9497592737698215,0.005972675883674179,0.6136417217007375,0.02509584034707599,44
2.1,0.35,0.9463947047509098,0.006411160726047123,0.6136342701146986,0.03057582976602509,45
2.2,0.25,0.9030909590824334,0.007954200767098239,0.6135728830148093,0.03444700921063407,46
2.6,0.4,0.9696047324133039,0.00689446399978849,0.61355385455778,0.014372500472789368,47
2.4,0.4,0.9645161375087957,0.005130194381379649,0.6134437003005152,0.020059457211370743,48
2.4,0.325,0.947658720735739,0.005213401641625381,0.6131907976044197,0.029639734367336742,49
2.4,0.25,0.9092823923486009,0.008215009700768655,0.612712678710874,0.03444197203066799,50
2.3,0.25,0.9074080558902382,0.008696138569769217,0.6126744118977062,0.03439768413465435,51
2.6,0.35,0.9585123666354306,0.004997371605137948,0.6125037860950313,0.022647736837064215,52
2.5,0.35,0.9563829497537426,0.005556752052514267,0.6124870095071684,0.020699410907674232,53
2.7,0.3,0.945265097323065,0.006099721953010031,0.6124198151959996,0.028528241386098472,54
2.6,0.325,0.9527637235484965,0.005621868467704352,0.612411398508365,0.024005751296240496,55
2.6,0.3,0.9434911129839637,0.006792614873050198,0.6120953023578337,0.032182513216157546,56
2.5,0.325,0.9497374131597575,0.0061108352800306985,0.6120502533564414,0.028033724020110985,57
2.5,0.25,0.9129595971492319,0.009799469669255125,0.6118384848962095,0.035590183593740145,58
3.0,0.325,0.9594400960019115,0.004386714340990156,0.6118156821382918,0.025201621232934263,59
2.0,0.4,0.9575213098289398,0.005629197367707268,0.6113108536766614,0.025026779441678967,60
2.8,0.3,0.947677479682782,0.006312027324083708,0.6111968949733023,0.03029834326610051,61
2.8,0.325,0.9558301336560537,0.004718151228540548,0.6111561248611932,0.020579926766924505,62
3.0,0.3,0.9527967940786704,0.004747365489334307,0.611139253274543,0.02018069653584808,63
2.5,0.4,0.9675180514450542,0.00703304550656151,0.6109334949649351,0.018079388003888797,64
2.1,0.2,0.8667236336544859,0.00857212216673117,0.6100196894465859,0.027397799644911052,65
2.9,0.325,0.9579220106517617,0.004374852873116036,0.6099274397637742,0.020171712878383975,66
2.6,0.2,0.8859787497171755,0.0037676511937210734,0.6098205183320067,0.03704462619078161,67
2.7,0.2,0.8881205176631152,0.003509667397498595,0.6090291527349334,0.037066409865504885,68
2.7,0.325,0.9539853274475864,0.0052847166573621665,0.6089768746175175,0.022061098897085095,69
2.3,0.2,0.875955307258368,0.006819783958607596,0.6088640610215197,0.02954078410932783,70
3.0,0.2,0.8964119352802389,0.005252833073799242,0.608785095907357,0.03950719012198314,71
2.9,0.2,0.8936075242735461,0.00523962096968415,0.6086806335837531,0.03503103435713778,72
2.2,0.2,0.869762802984502,0.007137472155950827,0.6085286002439625,0.027091810767246805,73
2.8,0.2,0.8914472633976447,0.0057100550634891405,0.6080926596063475,0.036849664114888096,74
2.4,0.2,0.8805101381923919,0.005400672213046387,0.6076389009555834,0.0319123311055587,75
2.5,0.2,0.8835366616679634,0.0035339893471263615,0.6064997215957099,0.031367489167405935,76
2.0,0.25,0.8954286937636022,0.007198604908622875,0.6062786128892024,0.028818399384207403,77
2.9,0.125,0.8144575780740004,0.007443678279994991,0.6037150589374315,0.017281602000643662,78
3.0,0.125,0.817858964883702,0.008044418061105146,0.6036447837086113,0.020216525266813626,79
2.8,0.125,0.8115084170557404,0.007814084571334114,0.6021433613899221,0.01657455701321721,80
2.7,0.125,0.8081007849516645,0.009179680081779577,0.6016497118501707,0.011774007608661673,81
2.6,0.125,0.8053982044115078,0.01013091440290991,0.6016204841959054,0.01173410246954885,82
2.2,0.125,0.7842335454899094,0.01651143858332932,0.6004448538565247,0.014914537415426516,83
2.1,0.125,0.7791367647171386,0.013192888606712692,0.599440839795058,0.014110678321178046,84
2.5,0.125,0.7997351406746771,0.011685495959846621,0.5991107189761258,0.012725043694798184,85
2.4,0.125,0.7930360542795414,0.014906077198918163,0.598960600109155,0.012583759337378557,86
2.0,0.125,0.7755653671363127,0.013261947261618598,0.5986979630978524,0.01439115648001088,87
2.3,0.125,0.787829310765783,0.015532785160033206,0.5969169798335773,0.01262389554326475,88
