C_Parameter,Degree_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
0.1,3,0.3,0.7802173899744423,0.005253642492667322,0.6079430675911234,0.03712851455861689,1
1.0,3,0.15,0.7894667487327831,0.005899122853561355,0.6045456972854963,0.04033136782743545,2
0.5,3,0.15,0.7580176644360795,0.005363362729828398,0.6029571660651056,0.03246667665894978,3
0.1,3,0.25,0.7544328686301343,0.005403479967316231,0.5988298249812293,0.03334265577091524,4
1.0,3,0.2,0.8229512974414666,0.007064312522816923,0.5982867266255038,0.03691128319993857,5
0.5,3,0.25,0.8221890764661776,0.0065519801242609685,0.5982660908544405,0.036912387347716964,6
0.5,3,0.2,0.7931400293477451,0.00551684195376411,0.5981675343916829,0.03682247996202244,7
1.0,5,0.15,0.8690897230047495,0.004707974940241002,0.5980315708211403,0.034187242231948446,8
1.0,3,0.3,0.8698537802772808,0.006065731875007341,0.5965666315363051,0.055653825502098485,9
0.1,3,0.2,0.7225411704233491,0.00815878714238709,0.5962219999416617,0.03216819400710006,10
0.1,5,0.25,0.8754178226991425,0.004398559531286166,0.5949880753315846,0.02635608482025298,11
0.5,3,0.3,0.8443767213967333,0.005124442404656765,0.5933312166377336,0.0528134129095104,12
1.0,3,0.25,0.8498060598755153,0.004894208277632409,0.5919231261531707,0.05045494323467242,13
0.1,5,0.2,0.8301703109832832,0.0055333479235036365,0.591427847551693,0.04109676258417547,14
0.1,5,0.15,0.7729298200024792,0.008658729957140407,0.5908555411255716,0.04389487526280222,15
0.5,5,0.15,0.8392921301320939,0.005532724027463613,0.590069096622173,0.040710131969553455,16
0.5,5,0.2,0.8865364787812613,0.003989181575001693,0.5835979531789366,0.02681391270231123,17
0.1,5,0.3,0.9068097309703573,0.004122413257658227,0.5791296380768625,0.038459238746874146,18
0.5,5,0.3,0.9595895853407462,0.004055432420857175,0.5781327849019103,0.03760378793211236,19
1.0,5,0.3,0.9734497237695342,0.0025785091054168984,0.5780270979230081,0.034528684934721894,20
1.0,5,0.25,0.9553628230103464,0.0039249632188199345,0.5743531327334119,0.04023663570620504,21
0.1,3,0.15,0.6816233358246084,0.00917487053005807,0.5730258966252262,0.0343233906744339,22
1.0,5,0.2,0.9208385232758264,0.00396410570367497,0.5689033217526926,0.042920080245811516,23
0.5,5,0.25,0.9364275584134051,0.0023148383111979767,0.5653342730299357,0.0341834291507486,24
