C_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
4.8,0.6040145049673789,0.006184229052164391,0.5732628233190755,0.031211851344651452,1
4.9,0.603998322435451,0.006196400157777709,0.5732628233190755,0.031211851344651452,1
5.0,0.6041585251530144,0.006837562172593335,0.5732628233190755,0.031211851344651452,1
5.1,0.6041469099066956,0.006447879243372753,0.5732628233190755,0.031211851344651452,1
5.2,0.6045683686788037,0.006389137455243348,0.5732628233190755,0.031211851344651452,1
5.3,0.6045700367000066,0.006523708511257614,0.5726124470826093,0.030893882690754913,6
5.4,0.6045584214536879,0.006169850759707335,0.5726124470826093,0.030893882690754913,6
5.5,0.6046780475105906,0.00624202069962774,0.5726124470826093,0.030893882690754913,6
6.0,0.6047872286177258,0.006363868570595104,0.5719022378245244,0.0306987938392441,9
5.75,0.6048914109614938,0.00645442567117697,0.5719022378245244,0.0306987938392441,9
4.0,0.6038643563815939,0.006020380805311539,0.5711252586118715,0.032700399767415185,11
